n_jobs: 1, Time: 0.6474940776824951s
n_jobs: 2, Time: 0.6357667446136475s
n_jobs: 3, Time: 0.6383469104766846s
n_jobs: 4, Time: 0.6494746208190918s
n_jobs: 5, Time: 0.6375601291656494s
n_jobs: 6, Time: 0.6390068531036377s
n_jobs: 7, Time: 0.6396210193634033s
n_jobs: 8, Time: 0.6392979621887207s
n_jobs: 9, Time: 0.6382250785827637s
n_jobs: 10, Time: 0.6589150428771973s
n_jobs: 11, Time: 0.6403012275695801s
n_jobs: 12, Time: 0.6374919414520264s
n_jobs: 13, Time: 0.6365771293640137s
n_jobs: 14, Time: 0.6443707942962646s
n_jobs: 15, Time: 0.6439390182495117s
n_jobs: 16, Time: 0.6572139263153076s
