n_jobs: 1, Time: 0.6315977573394775s
n_jobs: 2, Time: 0.6333510875701904s
n_jobs: 3, Time: 0.6340720653533936s
n_jobs: 4, Time: 0.642937183380127s
n_jobs: 5, Time: 0.6393680572509766s
n_jobs: 6, Time: 0.6405258178710938s
n_jobs: 7, Time: 0.6427628993988037s
n_jobs: 8, Time: 0.6427228450775146s
n_jobs: 9, Time: 0.641118049621582s
n_jobs: 10, Time: 0.6514389514923096s
n_jobs: 11, Time: 0.6432452201843262s
n_jobs: 12, Time: 0.6523420810699463s
n_jobs: 13, Time: 0.6590347290039062s
n_jobs: 14, Time: 0.6387717723846436s
n_jobs: 15, Time: 0.654547929763794s
n_jobs: 16, Time: 0.6394538879394531s
